Activated,AssistedTackles,BlockedKickReturnTouchdowns,BlockedKickReturnYards,BlockedKicks,CustomD365FantasyPoints,DefensiveSnapsPlayed,DefensiveTeamSnaps,DefensiveTouchdowns,DraftKingsSalary,ExtraPointsAttempted,ExtraPointsHadBlocked,ExtraPointsMade,FanDuelSalary,FantasyDataSalary,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsPPR,FantasyPointsYahoo,FantasyPosition,FieldGoalPercentage,FieldGoalReturnTouchdowns,FieldGoalReturnYards,FieldGoalsAttempted,FieldGoalsHadBlocked,FieldGoalsLongestMade,FieldGoalsMade,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FumbleReturnTouchdowns,FumbleReturnYards,Fumbles,FumblesForced,FumblesLost,FumblesOutOfBounds,FumblesOwnRecoveries,FumblesRecovered,GameDate,GameKey,HomeOrAway,Humidity,InterceptionReturnTouchdowns,InterceptionReturnYards,Interceptions,IsGameOver,KickReturnFairCatches,KickReturnLong,KickReturnTouchdowns,KickReturnYards,KickReturnYardsPerAttempt,KickReturns,MiscAssistedTackles,MiscFumblesForced,MiscFumblesRecovered,MiscSoloTackles,Name,Number,OffensiveSnapsPlayed,OffensiveTeamSnaps,OffensiveTouchdowns,Opponent,PassesDefended,PassingAttempts,PassingCompletionPercentage,PassingCompletions,PassingInterceptions,PassingLong,PassingRating,PassingSackYards,PassingSacks,PassingTouchdowns,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,Played,PlayerGameID,PlayerID,PlayingSurface,Position,PositionCategory,PuntAverage,PuntInside20,PuntLong,PuntNetAverage,PuntNetYards,PuntReturnFairCatches,PuntReturnLong,PuntReturnTouchdowns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturns,PuntTouchbacks,PuntYards,Punts,PuntsHadBlocked,QuarterbackHits,ReceivingLong,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsPerReception,ReceivingYardsPerTarget,ReceptionPercentage,Receptions,RushingAttempts,RushingLong,RushingTouchdowns,RushingYards,RushingYardsPerAttempt,SackYards,Sacks,Safeties,SafetiesAllowed,ScoringDetails,Season,SeasonType,ShortName,SoloTackles,SpecialTeamsAssistedTackles,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,SpecialTeamsSnapsPlayed,SpecialTeamsSoloTackles,SpecialTeamsTeamSnaps,SpecialTeamsTouchdowns,Stadium,Started,Tackles,TacklesForLoss,Team,Temperature,Touchdowns,TwoPointConversionPasses,TwoPointConversionReceptions,TwoPointConversionReturns,TwoPointConversionRuns,VictivSalary,Week,WindSpeed,YahooSalary,id
1,0,0,0,0,10,0,67,0,,2,0,2,4700,4700,10,0,10,10,0,K,100,0,0,2,0,54,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2015-10-18T13:00:00,201510624,AWAY,35,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Dustin Hopkins,3,0,63,0,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14775885,14867,Artificial,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,D.Hopkins,0,0,0,0,9,0,22,0,MetLife Stadium,0,0,0,WAS,58,0,0,0,0,0,,6,18,,54380f7e-7a54-49b0-9d71-88df7dc50dbf
1,0,0,0,0,6,0,67,0,,1,0,1,5000,5000,6,0,6,6,0,K,100,0,0,1,0,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015-11-01T20:30:00,201510810,AWAY,19,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Mason Crosby,2,0,53,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14878847,1694,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[object Object],2015,1,M.Crosby,0,0,0,0,5,0,23,0,Sports Authority Field at Mile High,0,0,0,GB,52,0,0,0,0,0,,8,7,,6a63f19c-61c4-4ec3-a0d2-cea560192d1c
1,0,0,0,0,8,0,70,0,,0,0,0,4600,4600,8,0,9,8,0,K,66.7,0,0,3,0,53,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2015-11-15T13:00:00,201511033,AWAY,52,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Dan Bailey,5,0,54,0,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14960873,13109,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,D.Bailey,0,0,0,0,6,0,16,0,Raymond James Stadium,0,0,0,DAL,73,0,0,0,0,0,,10,12,,6eceff9b-4b9a-4ef8-8edc-f47382d22573
1,0,0,0,0,1,0,75,0,,1,0,1,4600,4600,1,0,1,1,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-25T13:00:00,201510734,HOME,78,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Ryan Succop,4,3,54,0,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14818489,8750,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,R.Succop,0,0,0,0,0,0,19,0,LP Field,0,0,0,TEN,48,0,0,0,0,0,,7,6,,5990d266-6821-4306-8289-f10b64ea64b6
1,0,0,0,0,13,0,73,0,,2,0,2,5000,5000,13,0,14,13,0,K,100,0,0,3,0,50,3,0,0,1,1,1,0,0,0,0,0,0,0,0,2015-10-18T16:05:00,201510630,HOME,100,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Steven Hauschka,4,0,61,0,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14776493,12594,Artificial,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object],[object Object]",2015,1,S.Hauschka,0,0,0,0,11,0,27,0,CenturyLink Field,0,0,0,SEA,72,0,0,0,0,0,,6,5,,77710781-f282-495e-8fd7-b5024f7c91f4
1,0,0,0,0,9,0,69,0,,3,0,3,4900,4900,9,0,9,9,0,K,100,0,0,2,0,39,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2015-10-19T20:30:00,201510626,HOME,58,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Caleb Sturgis,6,0,78,0,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14798920,14877,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,C.Sturgis,0,0,0,0,11,0,25,0,Lincoln Financial Field,0,0,0,PHI,52,0,0,0,0,0,,6,7,,50b1e7c9-4b7b-44d7-860b-f10f13472667
1,0,0,0,0,4,0,73,0,,4,0,4,5200,5200,4,0,4,4,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-10T20:30:00,201510121,HOME,50,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Stephen Gostkowski,3,0,61,0,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14423601,2982,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,S.Gostkowski,0,0,0,0,9,0,17,0,Gillette Stadium,0,0,0,NE,65,0,0,0,0,0,,1,7,,cea95b06-9ea3-41df-bfa9-8a9af9da6445
1,0,0,0,0,6,0,94,0,,6,0,6,4900,4900,6,0,6,6,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-11T16:05:00,201510511,AWAY,80,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Chandler Catanzaro,7,0,46,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14734807,16644,Dome,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,C.Catanzaro,0,0,0,0,13,0,21,0,Ford Field,0,0,0,ARI,78,0,0,0,0,0,,5,0,,52c12a3a-d20b-4576-8d1e-6cc400926882
1,0,0,0,0,6,0,75,0,,3,0,3,4600,4600,6,0,6,6,0,K,33.3,0,0,3,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2015-10-25T13:00:00,201510732,HOME,41,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Greg Zuerlein,4,0,53,0,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14818247,14697,Dome,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[object Object],2015,1,G.Zuerlein,0,0,0,0,11,0,20,0,Edward Jones Dome,0,0,0,STL,57,0,0,0,0,0,,7,0,,562fd4c4-5d86-4f9d-ab19-a78d3741725a
1,0,0,0,0,7,0,59,0,,1,0,1,5100,5100,7,0,7,7,0,K,66.7,0,0,3,0,26,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2015-11-01T16:25:00,201510809,AWAY,43,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Steven Hauschka,4,0,62,0,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14867359,12594,Dome,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,S.Hauschka,0,0,0,0,8,0,21,0,AT&T Stadium,0,0,0,SEA,60,0,0,0,0,0,,8,0,,7b24f465-4541-4bef-b99a-0dfb6a71ecc8
