Activated,AssistedTackles,BlockedKickReturnTouchdowns,BlockedKickReturnYards,BlockedKicks,CustomD365FantasyPoints,DefensiveSnapsPlayed,DefensiveTeamSnaps,DefensiveTouchdowns,DraftKingsSalary,ExtraPointsAttempted,ExtraPointsHadBlocked,ExtraPointsMade,FanDuelSalary,FantasyDataSalary,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsPPR,FantasyPointsYahoo,FantasyPosition,FieldGoalPercentage,FieldGoalReturnTouchdowns,FieldGoalReturnYards,FieldGoalsAttempted,FieldGoalsHadBlocked,FieldGoalsLongestMade,FieldGoalsMade,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FumbleReturnTouchdowns,FumbleReturnYards,Fumbles,FumblesForced,FumblesLost,FumblesOutOfBounds,FumblesOwnRecoveries,FumblesRecovered,GameDate,GameKey,HomeOrAway,Humidity,InterceptionReturnTouchdowns,InterceptionReturnYards,Interceptions,IsGameOver,KickReturnFairCatches,KickReturnLong,KickReturnTouchdowns,KickReturnYards,KickReturnYardsPerAttempt,KickReturns,MiscAssistedTackles,MiscFumblesForced,MiscFumblesRecovered,MiscSoloTackles,Name,Number,OffensiveSnapsPlayed,OffensiveTeamSnaps,OffensiveTouchdowns,Opponent,PassesDefended,PassingAttempts,PassingCompletionPercentage,PassingCompletions,PassingInterceptions,PassingLong,PassingRating,PassingSackYards,PassingSacks,PassingTouchdowns,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,Played,PlayerGameID,PlayerID,PlayingSurface,Position,PositionCategory,PuntAverage,PuntInside20,PuntLong,PuntNetAverage,PuntNetYards,PuntReturnFairCatches,PuntReturnLong,PuntReturnTouchdowns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturns,PuntTouchbacks,PuntYards,Punts,PuntsHadBlocked,QuarterbackHits,ReceivingLong,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsPerReception,ReceivingYardsPerTarget,ReceptionPercentage,Receptions,RushingAttempts,RushingLong,RushingTouchdowns,RushingYards,RushingYardsPerAttempt,SackYards,Sacks,Safeties,SafetiesAllowed,ScoringDetails,Season,SeasonType,ShortName,SoloTackles,SpecialTeamsAssistedTackles,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,SpecialTeamsSnapsPlayed,SpecialTeamsSoloTackles,SpecialTeamsTeamSnaps,SpecialTeamsTouchdowns,Stadium,Started,Tackles,TacklesForLoss,Team,Temperature,Touchdowns,TwoPointConversionPasses,TwoPointConversionReceptions,TwoPointConversionReturns,TwoPointConversionRuns,VictivSalary,Week,WindSpeed,YahooSalary,id
1,0,0,0,0,6.8,0,61,0,2500,0,0,0,4500,4500,3.8,6.8,5.3,6.8,5.3,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-13T13:00:00,201510124,AWAY,49,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Gary Barnidge,82,61,71,0,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14454808,4577,Artificial,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,38,12.7,7.6,60,3,0,0,0,0,0,0,0,0,0,,2015,1,G.Barnidge,0,0,0,0,3,0,19,0,MetLife Stadium,1,0,0,CLE,77,0,0,0,0,0,,1,8,10,11296e59-8303-4266-ab11-9f08bec1c956
1,0,0,0,0,0,0,69,0,2700,0,0,0,4900,4900,0,0,0,0,0,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-11T16:25:00,201510525,AWAY,67,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Owen Daniels,81,53,58,0,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14734773,1810,Grass,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,O.Daniels,0,0,0,0,0,0,21,0,O.co Coliseum,1,0,0,DEN,82,0,0,0,0,0,,5,11,15,0776b8c9-d315-4331-960d-a50cb869ef60
1,0,0,0,0,2.3,0,65,0,2500,0,0,0,,,1.3,2.3,1.8,2.3,1.8,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-27T16:25:00,201510319,HOME,69,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Jake Stoneburner,85,24,78,0,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14652671,15757,Grass,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,13,13,13,100,1,0,0,0,0,0,0,0,0,0,,2015,1,J.Stoneburner,0,0,0,0,1,0,27,0,Sun Life Stadium,0,0,0,MIA,93,0,0,0,0,0,,3,6,10,04234b3f-cad8-4cc7-bf2b-2fcf5fecbdeb
1,0,0,0,0,1.6,0,65,0,2500,0,0,0,,,0.6,1.6,1.1,1.6,1.1,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-08T13:00:00,201510924,AWAY,32,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Nic Jacobs,85,5,66,0,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14919343,16576,Artificial,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,6,6,6,100,1,0,0,0,0,0,0,0,0,0,,2015,1,N.Jacobs,0,0,0,0,24,0,28,0,MetLife Stadium,0,0,0,JAX,50,0,0,0,0,0,,9,8,10,04e02a18-1608-4f0c-b53a-614094ff16dc
1,0,0,0,0,15.3,0,71,0,3200,0,0,0,5600,5600,11.3,15.3,13.3,15.3,13.3,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-04T16:05:00,201510429,HOME,86,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Ladarius Green,89,56,65,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14688044,14122,Grass,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,1,53,13.2,8.8,66.7,4,0,0,0,0,0,0,0,0,0,[object Object],2015,1,L.Green,0,0,0,0,2,0,28,0,Qualcomm Stadium,0,0,0,SD,75,1,0,0,0,0,,4,12,15,0472a29b-b308-4d24-80fd-c45f2281e6b7
1,0,0,0,0,7.5,0,57,0,2500,0,0,0,4500,4500,3.5,7.5,5.5,7.5,5.5,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-27T13:00:00,201510320,AWAY,53,0,0,0,true,0,0,0,0,0,0,0,0,0,0,John Phillips,83,58,74,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14649856,8848,Dome,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,35,8.8,8.8,100,4,0,0,0,0,0,0,0,0,0,,2015,1,J.Phillips,0,0,0,0,14,1,25,0,Mall of America Field,1,1,0,SD,80,0,0,0,0,0,,3,12,10,004378a9-8653-4bcc-8360-910ec32d1c4b
1,0,0,0,0,14.9,0,63,0,4200,0,0,0,5900,5900,10.9,14.9,12.9,14.9,12.9,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-20T13:00:00,201510207,HOME,48,0,0,0,true,0,0,0,0,0,0,1,0,0,0,Tyler Eifert,85,62,66,1,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14621187,14918,Artificial,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,49,12.2,9.8,80,4,0,0,0,0,0,0,0,0,0,[object Object],2015,1,T.Eifert,0,0,0,0,0,0,19,0,Paul Brown Stadium,1,0,0,CIN,71,1,0,0,0,0,,2,6,17,05eea509-56d4-49f0-bfa6-03baae400a8d
1,0,0,0,0,10.4,0,61,0,2500,0,0,0,4500,4500,5.4,10.4,7.9,10.4,7.9,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-18T13:00:00,201510604,HOME,86,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Chris Gragg,89,26,70,0,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14776194,14866,Artificial,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,54,10.8,10.8,100,5,0,0,0,0,0,0,0,0,0,,2015,1,C.Gragg,0,0,0,0,3,0,18,0,Ralph Wilson Stadium,0,0,0,BUF,47,0,0,0,0,0,,6,4,10,06f0d1e1-f02c-40fe-93e7-c806d17f4f37
1,0,0,0,0,30.5,0,76,0,4200,0,0,0,5500,5500,23.5,30.5,27,30.5,27,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-08T13:00:00,201510922,AWAY,80,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Delanie Walker,82,47,71,2,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14919243,7175,Dome,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,8,2,95,13.6,11.9,87.5,7,0,0,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,D.Walker,0,0,0,0,0,0,26,0,Mercedes-Benz Superdome,0,0,0,TEN,53,1,0,1,0,0,,9,15,17,11424e8e-1af9-401a-ac3a-176faf3bc50d
1,0,0,0,0,0,0,63,0,2500,0,0,0,4500,4500,0,0,0,0,0,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-18T13:00:00,201510624,HOME,35,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Kellen Davis,47,40,67,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14776186,8142,Artificial,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,K.Davis,0,0,0,0,5,0,19,0,MetLife Stadium,0,0,0,NYJ,58,0,0,0,0,0,,6,18,10,0de2642e-c7db-4e02-97b8-406a26d86916
